job_id,asset_id,crew_id,start_time,end_time,job_type,shift_type,planned_deenergize,checklist_passed,supervisor_confirmed,crew_avg_experience_years,recent_hours_worked_48h,asset_voltage_level,asset_age_years,maintenance_last_days,region_hotspot_score,incidents_area_30d,weather_precip_1h,lightning_nearby_1h,V_rms_mean_5m,V_rms_std_5m,V_slope_5m,frequency_dev_std_5m,V_drop_count_15m,I_rms_mean_5m,I_inrush_count_1h,thd_percent_1h,arc_event_count_1h,ground_fault_flag_24h,transformer_temp_max_24h,leakage_current_max_24h,sensor_comm_loss_flag,incident_flag,severity,near_miss_flag
J1022,A295,C96,2025-05-15 17:47:00,2025-05-15 19:36:00,maintenance,day,1,1,1,6.8,18.2,22,6,78,0.434,0,0.0,0,22037,119,0.045,0.0173,1,33.9,0,0.9,0,0,58.5,0.55,0,0,none,0
J1023,A126,C33,2025-08-16 03:09:00,2025-08-16 04:59:00,repair,night,0,1,1,6.9,15.0,33,10,50,0.381,0,0.06,0,32699,87,0.015,0.023,0,52.9,1,2.46,0,0,52.9,0.56,0,0,none,0
J1024,A197,C34,2025-06-25 11:49:00,2025-06-25 13:56:00,repair,day,0,1,1,5.3,24.0,33,4,41,0.268,0,0.0,0,33045,125,-0.621,0.003,2,61.8,0,4.33,0,0,60.4,0.58,0,0,none,0
J1025,A191,C98,2025-05-19 05:21:00,2025-05-19 07:28:00,inspection,night,1,1,1,10.8,9.1,22,10,58,0.146,1,0.0,0,21891,96,-0.438,0.0033,1,0.1,0,1.01,0,0,58.7,0.33,0,0,none,0
J1026,A254,C77,2025-07-05 17:35:00,2025-07-05 18:28:00,inspection,day,1,1,0,0.5,8.8,33,9,102,0.261,0,0.0,0,33072,112,0.415,0.004,0,63.9,0,2.41,0,0,61.8,1.59,0,0,none,0
J1027,A111,C196,2025-03-13 18:35:00,2025-03-13 19:16:00,emergency,day,0,0,1,0.5,1.1,11,3,12,0.118,0,0.42,0,11130,132,-0.537,0.0392,1,30.8,0,0.57,0,0,59.3,0.62,0,1,minor,0
J1028,A217,C147,2025-06-13 17:56:00,2025-06-13 18:57:00,maintenance,day,0,1,1,3.1,6.5,11,15,81,0.171,0,0.0,0,11260,68,-0.417,0.013,0,28.7,0,0.16,0,0,65.1,1.07,0,0,none,0
J1029,A131,C106,2025-05-29 17:36:00,2025-05-29 19:30:00,emergency,day,0,1,1,1.6,14.2,11,5,435,0.363,0,0.88,0,11215,45,-0.647,0.0015,0,57.2,1,2.51,0,0,60.8,0.1,0,0,none,0
J1030,A120,C151,2025-05-09 07:39:00,2025-05-09 09:28:00,maintenance,day,1,1,0,0.5,30.1,132,18,102,0.125,0,0.28,0,132221,113,1.215,0.0171,0,36.7,0,3.77,0,0,63.8,0.18,0,0,none,0
J1031,A175,C170,2025-08-30 06:49:00,2025-08-30 08:29:00,maintenance,day,0,1,1,8.1,11.6,11,13,190,0.379,0,2.89,0,10681,181,0.598,0.0272,1,53.8,0,3.66,0,0,57.5,1.41,0,0,none,0
J1032,A258,C102,2025-10-20 23:49:00,2025-10-21 00:42:00,maintenance,night,1,1,0,7.0,14.1,66,2,343,0.11,0,0.0,0,66140,158,0.919,0.0326,0,53.8,1,1.76,0,0,53.7,0.33,0,0,none,0
J1033,A247,C59,2025-06-29 17:15:00,2025-06-29 18:02:00,inspection,day,1,1,1,7.8,3.2,11,2,304,0.148,0,0.0,0,10912,64,-0.398,0.0172,0,38.2,0,3.47,0,0,66.9,0.37,0,0,none,0
J1034,A280,C27,2025-09-30 17:52:00,2025-09-30 18:52:00,emergency,day,0,1,1,10.3,0.6,33,7,942,0.195,0,0.0,0,33219,35,-0.361,0.0386,0,93.7,0,3.38,0,0,55.5,0.38,0,0,none,0
J1035,A111,C179,2025-04-19 20:10:00,2025-04-19 22:07:00,maintenance,night,1,0,1,4.0,0.2,22,13,30,0.162,0,0.0,0,22202,124,0.231,0.0174,0,46.4,2,2.26,1,0,52.9,1.27,0,0,none,1
J1036,A158,C207,2025-08-29 17:02:00,2025-08-29 19:39:00,maintenance,day,1,1,0,6.7,5.6,11,1,124,0.179,0,0.0,0,11212,55,-0.468,0.0141,0,16.1,0,1.22,0,0,57.0,0.27,0,0,none,0
J1037,A174,C30,2025-09-25 03:21:00,2025-09-25 04:40:00,maintenance,night,1,1,1,5.6,8.7,11,2,52,0.363,0,1.06,0,10935,136,0.244,0.0554,0,45.5,0,3.01,0,0,58.6,0.95,0,1,minor,0
J1038,A159,C35,2025-04-14 19:43:00,2025-04-14 21:46:00,maintenance,day,0,1,1,2.9,22.2,22,7,978,0.199,1,0.0,0,22256,151,-0.8,0.0167,0,34.7,1,1.36,0,0,62.8,0.42,0,0,none,0
J1039,A197,C81,2025-04-01 15:23:00,2025-04-01 15:53:00,maintenance,day,0,1,1,5.7,13.0,22,1,117,0.204,0,0.0,0,21828,128,-0.832,0.0413,2,23.4,0,1.07,0,0,66.3,2.6,0,0,none,0
J1040,A216,C172,2025-01-02 21:47:00,2025-01-02 23:01:00,maintenance,night,0,1,0,3.6,12.5,22,5,160,0.244,0,0.0,0,21984,146,0.461,0.0161,0,30.0,0,1.76,0,0,57.5,1.16,1,0,none,0
J1041,A193,C51,2025-03-28 00:15:00,2025-03-28 03:08:00,inspection,night,1,0,1,2.1,11.7,11,12,41,0.081,0,0.0,0,10907,134,0.056,0.0207,0,86.1,0,1.73,0,0,63.2,0.02,0,0,none,0
J1042,A194,C100,2025-02-15 15:25:00,2025-02-15 16:34:00,repair,day,0,1,1,10.2,7.6,33,12,151,0.339,0,0.0,0,33126,17,-0.092,0.0063,0,18.1,0,3.1,0,0,70.0,0.99,0,0,none,0
J1043,A153,C181,2025-04-01 06:21:00,2025-04-01 07:12:00,maintenance,day,1,1,0,5.4,1.4,11,15,72,0.077,0,0.0,0,10814,114,-0.405,0.006,1,34.6,0,1.08,0,0,54.7,1.5,0,0,none,0
J1044,A168,C189,2025-02-28 18:54:00,2025-02-28 21:04:00,maintenance,day,1,1,1,2.1,20.2,33,12,63,0.069,0,0.0,0,32902,176,0.84,0.0284,1,23.8,0,0.38,0,0,68.9,0.42,0,0,none,0
J1045,A274,C175,2025-10-25 21:49:00,2025-10-25 22:52:00,repair,night,0,1,1,6.5,13.1,33,1,239,0.15,0,0.0,0,32637,16,1.006,0.022,1,9.2,1,0.09,0,0,59.6,0.79,0,0,none,0
J1046,A118,C165,2025-09-22 22:10:00,2025-09-22 23:17:00,maintenance,night,1,1,1,10.2,18.6,33,21,285,0.217,0,0.78,0,33081,128,-0.298,0.0227,0,24.8,0,0.95,0,0,67.3,0.06,0,0,none,0
J1047,A262,C53,2025-02-16 19:55:00,2025-02-16 22:10:00,repair,day,0,1,1,4.8,10.6,11,1,106,0.245,1,0.0,0,11006,90,0.115,0.0102,0,11.9,2,3.51,0,0,63.2,1.18,0,1,major,0
J1048,A236,C196,2025-08-10 13:10:00,2025-08-10 15:48:00,maintenance,day,1,1,0,0.5,5.9,33,31,27,0.011,0,0.22,0,32797,125,-0.519,0.0344,0,46.8,1,2.28,0,0,52.0,0.01,0,0,none,0
J1049,A162,C51,2025-08-17 10:27:00,2025-08-17 12:05:00,maintenance,day,1,1,1,9.2,10.9,22,8,95,0.181,0,0.0,0,21832,145,-0.237,0.0302,0,62.3,0,0.92,0,0,64.2,2.71,0,0,none,0
J1050,A218,C107,2025-01-22 21:51:00,2025-01-22 23:53:00,emergency,night,0,1,0,8.1,18.1,11,4,13,0.115,1,0.0,0,11155,127,-0.713,0.0186,0,23.6,3,1.86,0,0,60.2,0.07,0,0,none,0
J1051,A169,C173,2025-09-20 18:00:00,2025-09-20 20:20:00,maintenance,day,1,0,1,4.8,17.2,22,24,70,0.054,0,0.0,0,22052,181,-0.228,0.0345,0,58.2,1,2.69,0,0,72.3,0.27,0,0,none,0
J1052,A276,C152,2025-07-09 22:58:00,2025-07-10 00:06:00,maintenance,night,1,1,1,0.5,12.4,22,26,548,0.116,0,0.0,0,21747,19,0.88,0.0081,0,46.8,1,0.98,1,0,57.1,0.43,0,0,none,1
J1053,A156,C185,2025-08-19 00:36:00,2025-08-19 03:31:00,repair,night,0,1,1,10.7,11.0,22,13,107,0.371,1,0.0,0,22037,120,0.269,0.0339,0,31.3,1,0.27,0,0,64.5,2.4,0,0,none,0
J1054,A183,C206,2025-01-03 16:50:00,2025-01-03 17:54:00,repair,day,0,1,1,7.8,8.6,11,7,13,0.212,0,0.0,0,11141,92,-0.716,0.0285,0,31.3,0,1.19,0,0,66.4,1.72,0,0,none,0
J1055,A298,C24,2025-01-29 21:26:00,2025-01-29 23:31:00,maintenance,night,1,1,0,3.2,20.6,22,3,397,0.507,0,0.0,0,22390,72,0.364,0.001,1,42.1,0,3.24,0,0,65.2,0.93,0,0,none,0
J1056,A158,C18,2025-06-28 08:40:00,2025-06-28 09:13:00,repair,day,0,1,0,9.1,9.0,11,6,157,0.195,0,0.45,0,11470,75,-0.151,0.0212,0,20.7,0,1.08,1,0,65.6,1.31,0,0,none,1
J1057,A180,C112,2025-08-31 16:17:00,2025-08-31 18:46:00,maintenance,day,1,1,1,2.8,0.7,11,17,350,0.144,0,0.0,0,10871,299,0.181,0.0363,0,44.8,0,0.02,0,0,58.6,0.14,0,0,none,0
J1058,A168,C26,2025-04-09 09:39:00,2025-04-09 11:50:00,emergency,day,0,1,1,4.4,8.5,22,17,326,0.1,0,0.0,0,22048,84,-0.448,0.0287,0,50.9,0,2.82,0,0,54.8,0.4,0,0,none,0
J1059,A154,C155,2025-07-08 03:36:00,2025-07-08 05:24:00,emergency,night,0,1,1,4.7,11.9,11,7,59,0.275,0,0.0,0,11085,116,-0.176,0.0244,0,35.1,0,3.29,0,0,57.5,1.05,0,0,none,0
J1060,A283,C90,2025-06-16 14:51:00,2025-06-16 16:07:00,maintenance,day,1,1,1,6.5,9.3,22,19,249,0.027,1,0.0,0,21892,34,-0.61,0.0257,1,75.0,0,4.38,0,0,51.3,0.63,0,0,none,0
J1061,A154,C177,2025-06-16 09:49:00,2025-06-16 12:21:00,inspection,day,1,1,0,6.6,20.5,22,5,131,0.184,0,0.05,0,21752,90,-0.091,0.0135,0,20.9,1,2.06,0,0,62.5,1.03,1,0,none,0
J1062,A227,C111,2025-05-23 09:21:00,2025-05-23 11:43:00,maintenance,day,1,1,0,5.0,13.1,11,16,57,0.067,0,0.0,0,11242,57,-0.52,0.03,2,20.2,0,3.75,0,0,58.8,0.72,0,0,none,0
J1063,A264,C127,2025-05-01 21:13:00,2025-05-01 23:10:00,maintenance,night,1,1,1,0.5,13.1,22,12,23,0.316,0,0.0,0,22133,92,-0.382,0.004,0,25.2,2,1.03,0,0,63.9,0.66,0,1,minor,0
J1064,A136,C77,2025-05-25 04:24:00,2025-05-25 06:22:00,repair,night,0,1,1,8.0,9.6,11,4,62,0.141,0,0.0,0,11359,127,0.318,0.0044,0,40.8,1,4.16,0,0,47.0,0.01,0,0,none,0
J1065,A135,C73,2025-10-17 15:53:00,2025-10-17 17:15:00,inspection,day,1,1,0,11.2,18.3,132,7,21,0.191,0,0.86,0,132075,84,-1.275,0.0266,0,89.9,0,4.74,1,1,60.7,0.24,0,0,none,1
J1066,A290,C153,2025-02-17 07:48:00,2025-02-17 09:01:00,maintenance,day,1,1,1,1.1,9.4,22,15,132,0.29,0,0.27,0,21639,57,-0.485,0.0223,0,67.8,1,2.49,0,0,59.6,1.6,0,0,none,0
J1067,A237,C77,2025-06-25 13:21:00,2025-06-25 15:03:00,inspection,day,1,1,1,4.1,17.5,33,6,106,0.436,0,0.0,0,32963,33,0.769,0.008,1,14.7,1,4.93,0,0,67.5,0.42,0,0,none,0
J1068,A291,C159,2025-03-28 06:43:00,2025-03-28 08:05:00,emergency,day,0,1,0,5.8,10.8,11,5,17,0.083,0,0.0,0,11035,45,-0.3,0.0365,0,51.8,0,0.9,0,0,60.3,0.67,0,1,minor,0
J1069,A209,C159,2025-06-24 23:55:00,2025-06-25 01:44:00,repair,night,0,1,1,4.6,18.2,33,6,25,0.105,0,0.0,0,33122,132,0.248,0.0308,0,33.4,0,1.14,0,0,57.9,0.18,0,0,none,0
J1070,A202,C102,2025-09-23 11:58:00,2025-09-23 13:47:00,maintenance,day,0,1,1,6.3,24.8,33,9,184,0.087,0,0.0,1,33066,79,-0.36,0.0029,0,33.3,0,3.9,0,0,50.9,0.33,0,1,minor,0
J1071,A156,C45,2025-04-18 07:55:00,2025-04-18 08:55:00,emergency,day,0,1,1,8.8,2.9,66,25,97,0.133,0,0.0,0,65803,14,0.249,0.0297,2,44.5,0,1.75,0,0,68.5,1.31,0,0,none,0
J1072,A230,C136,2025-09-26 09:42:00,2025-09-26 13:01:00,maintenance,day,1,1,1,6.4,1.7,33,3,142,0.078,0,0.0,0,32910,89,0.971,0.0091,0,15.3,0,1.75,0,0,61.5,1.04,0,0,none,0
J1073,A123,C203,2025-02-03 17:15:00,2025-02-03 18:54:00,emergency,day,0,1,0,4.3,17.7,11,25,124,0.141,0,0.44,0,10675,203,0.15,0.0263,0,35.3,0,3.16,0,0,69.8,0.17,0,0,none,0
J1074,A112,C38,2025-06-28 03:08:00,2025-06-28 03:49:00,maintenance,night,1,1,0,7.4,12.4,22,33,351,0.226,0,0.0,0,21652,16,0.376,0.0254,0,6.9,1,2.4,0,0,69.2,0.67,0,0,none,0
J1075,A139,C170,2025-07-13 23:03:00,2025-07-14 01:42:00,inspection,night,1,1,0,5.4,17.1,132,14,305,0.212,0,0.0,0,132220,79,0.185,0.0259,0,82.2,0,0.9,0,0,47.9,0.98,1,0,none,0
J1076,A140,C184,2025-09-16 18:54:00,2025-09-16 19:40:00,emergency,day,0,1,1,7.4,30.0,22,14,251,0.23,1,0.37,0,21643,100,-0.816,0.0139,1,53.4,1,2.48,0,0,63.8,1.49,0,0,none,0
J1077,A208,C162,2025-03-15 23:30:00,2025-03-15 23:44:00,maintenance,night,1,1,0,6.5,13.7,33,14,123,0.14,0,0.0,0,32986,113,-0.641,0.0197,0,27.3,2,3.0,0,0,55.4,1.1,0,0,none,0
J1078,A116,C108,2025-02-25 14:37:00,2025-02-25 16:54:00,repair,day,0,0,0,1.0,9.7,66,3,529,0.338,0,0.37,0,66166,30,1.199,0.0601,0,42.3,0,1.33,0,0,59.1,0.21,0,1,minor,0
J1079,A197,C162,2025-07-26 23:44:00,2025-07-27 01:11:00,maintenance,night,1,1,1,3.3,15.4,11,7,75,0.005,0,1.09,0,10957,110,-0.195,0.0168,0,66.3,0,2.2,0,0,55.3,0.91,0,0,none,0
J1080,A219,C145,2025-05-20 06:31:00,2025-05-20 07:17:00,inspection,day,1,1,1,2.0,3.3,33,14,64,0.092,2,0.43,0,33346,29,-0.105,0.018,1,41.5,0,1.79,0,0,56.1,0.25,0,0,none,0
J1081,A164,C151,2025-07-15 13:21:00,2025-07-15 14:02:00,repair,day,0,1,0,0.6,22.1,33,4,65,0.275,0,0.0,0,32875,93,-0.509,0.0345,0,47.3,0,0.53,0,0,65.0,0.16,0,0,none,0
J1082,A102,C184,2025-05-25 15:01:00,2025-05-25 16:44:00,maintenance,day,1,1,1,8.7,14.3,132,3,227,0.043,1,0.0,0,132126,34,-0.315,0.0266,1,69.2,0,2.25,0,0,60.8,0.17,0,0,none,0
J1083,A284,C39,2025-06-16 19:01:00,2025-06-16 20:14:00,emergency,day,0,1,0,6.2,12.6,22,2,61,0.299,0,0.0,0,22135,71,0.632,0.0312,0,39.5,1,0.02,0,0,59.0,1.33,0,0,none,0
J1084,A274,C147,2025-08-25 20:57:00,2025-08-25 22:32:00,inspection,night,1,1,1,4.9,19.7,22,16,101,0.236,0,0.0,0,21723,52,0.076,0.0202,1,31.9,0,2.18,0,0,61.9,0.09,0,0,none,0
J1085,A292,C78,2025-08-07 20:19:00,2025-08-07 21:48:00,inspection,night,1,1,1,9.2,14.5,66,12,25,0.093,0,0.56,0,66014,11,-0.319,0.0118,0,82.2,1,0.97,1,0,66.5,0.42,0,0,none,1
J1086,A296,C174,2025-04-30 07:49:00,2025-04-30 09:43:00,maintenance,day,1,1,1,1.0,20.4,132,29,225,0.185,0,0.0,0,132226,86,0.246,0.0004,0,95.2,0,3.03,0,0,63.7,0.32,0,0,none,0
J1087,A187,C38,2025-07-08 18:36:00,2025-07-08 20:42:00,inspection,day,1,1,0,3.5,4.9,11,40,449,0.081,0,0.0,0,10839,97,0.297,0.0159,0,30.2,1,0.04,0,0,51.0,0.41,0,0,none,0
J1088,A175,C121,2025-05-21 11:23:00,2025-05-21 12:57:00,inspection,day,1,1,1,0.5,8.7,22,10,158,0.083,0,0.0,0,22026,95,0.317,0.0559,0,44.4,0,1.53,0,0,64.4,0.7,0,1,minor,0
J1089,A140,C126,2025-05-17 15:29:00,2025-05-17 16:59:00,repair,day,0,1,1,4.5,11.9,11,16,14,0.058,0,0.0,0,10679,16,1.19,0.0283,0,59.2,1,1.1,0,0,54.9,0.03,0,0,none,0
J1090,A100,C194,2025-01-26 17:45:00,2025-01-26 19:11:00,repair,day,0,1,1,6.0,18.9,22,1,234,0.05,1,0.0,0,22043,23,-0.537,0.029,1,59.6,0,0.27,0,0,60.7,1.35,0,0,none,0
J1091,A284,C77,2025-06-04 23:25:00,2025-06-05 01:17:00,maintenance,night,1,1,0,4.6,16.2,11,16,126,0.068,0,0.0,0,10842,4,-0.119,0.049,0,57.2,0,0.75,0,0,51.6,1.08,0,0,none,0
J1092,A228,C205,2025-03-10 22:59:00,2025-03-11 01:10:00,repair,night,0,1,1,1.8,7.2,11,6,16,0.147,1,0.0,0,11024,109,-0.857,0.0224,1,0.3,1,1.74,0,0,58.2,0.01,0,0,none,0
J1093,A145,C139,2025-10-23 17:02:00,2025-10-23 18:30:00,emergency,day,0,1,1,6.1,8.3,11,3,561,0.323,0,0.0,0,10555,19,-0.918,0.0441,0,18.8,0,2.0,0,0,70.6,0.5,0,0,none,0
J1094,A127,C170,2025-01-09 00:14:00,2025-01-09 01:19:00,maintenance,night,1,1,1,5.8,20.2,22,3,111,0.105,0,0.0,0,22115,158,0.536,0.0249,0,40.8,0,4.12,0,0,54.9,0.46,0,0,none,0
J1095,A176,C173,2025-01-29 01:17:00,2025-01-29 02:13:00,repair,night,0,1,1,9.1,12.4,11,11,126,0.111,1,0.0,0,10665,14,-0.281,0.0076,0,52.3,0,0.61,0,0,68.3,1.94,0,0,none,0
J1096,A229,C165,2025-06-28 23:50:00,2025-06-29 01:03:00,repair,night,0,1,1,5.8,14.0,11,7,17,0.21,0,0.56,0,11098,107,-0.12,0.0354,0,48.3,0,1.21,0,0,58.6,0.82,0,0,none,0
J1097,A150,C49,2025-09-03 12:11:00,2025-09-03 15:17:00,maintenance,day,1,1,1,8.1,2.3,22,14,134,0.197,0,0.59,0,22021,98,0.261,0.0238,0,40.1,1,3.96,0,0,65.1,1.97,0,0,none,0
J1098,A195,C205,2025-07-02 18:00:00,2025-07-02 18:27:00,maintenance,day,0,1,1,7.1,22.7,132,13,133,0.191,0,0.0,0,131924,35,0.135,0.0257,0,56.9,1,3.26,0,0,61.8,0.01,0,0,none,0
J1099,A141,C148,2025-02-08 14:31:00,2025-02-08 16:09:00,maintenance,day,1,1,1,10.5,13.5,33,6,555,0.079,0,0.08,0,33200,13,0.981,0.0315,0,8.9,0,2.0,0,0,56.9,0.34,0,1,minor,0
J1100,A299,C145,2025-06-03 09:24:00,2025-06-03 11:34:00,inspection,day,1,0,0,11.7,11.0,66,6,54,0.24,0,0.0,0,66326,95,0.398,0.0409,0,78.0,0,1.88,0,0,58.1,0.65,0,0,none,0
J1101,A100,C163,2025-01-17 03:27:00,2025-01-17 05:13:00,maintenance,night,1,1,0,4.9,3.3,22,40,168,0.224,0,0.0,0,22189,101,-0.139,0.0255,1,59.9,0,3.12,0,0,70.3,0.91,0,0,none,0
J1102,A182,C135,2025-01-17 21:00:00,2025-01-17 22:50:00,emergency,night,0,1,1,4.8,16.3,11,5,44,0.105,1,0.0,0,10770,125,0.429,0.0325,0,2.5,0,1.78,0,0,63.8,0.11,0,0,none,0
J1103,A104,C38,2025-02-27 11:58:00,2025-02-27 12:38:00,repair,day,0,1,0,11.0,14.6,11,17,143,0.085,1,0.0,0,10786,207,0.02,0.0233,0,41.7,0,0.52,0,0,55.0,1.13,0,0,none,0
J1104,A192,C88,2025-01-07 10:28:00,2025-01-07 13:09:00,maintenance,day,0,1,0,5.6,19.3,22,35,42,0.004,1,0.05,0,22032,54,1.033,0.0258,0,13.1,0,1.48,0,0,66.2,0.99,0,0,none,0
J1105,A161,C24,2025-08-31 07:51:00,2025-08-31 09:16:00,maintenance,day,1,1,0,5.4,18.0,66,1,109,0.224,0,0.0,0,65698,79,-0.447,0.0335,0,51.0,1,1.58,0,0,51.8,0.91,0,0,none,0
J1106,A161,C155,2025-07-10 12:09:00,2025-07-10 15:31:00,maintenance,day,1,1,1,4.7,21.8,33,5,13,0.132,0,0.0,0,33052,153,0.259,0.0561,1,51.5,1,1.45,0,0,50.4,0.23,0,0,none,0
J1107,A120,C31,2025-05-16 06:16:00,2025-05-16 08:20:00,emergency,day,0,1,1,4.2,10.8,33,6,169,0.022,0,0.0,0,32941,78,-1.065,0.0017,0,33.7,0,2.71,0,0,55.2,1.15,0,0,none,0
J1108,A287,C134,2025-06-01 06:51:00,2025-06-01 08:39:00,emergency,day,0,1,1,9.4,13.3,22,1,1,0.078,0,0.0,0,22081,46,0.288,0.038,1,36.6,3,3.49,0,0,57.5,0.06,0,0,none,0
J1109,A117,C204,2025-10-07 00:27:00,2025-10-07 01:38:00,repair,night,0,1,1,5.8,12.3,22,9,169,0.227,0,0.0,0,21631,127,-0.85,0.0167,0,18.4,0,0.98,0,0,50.8,0.56,0,0,none,0
J1110,A236,C206,2025-06-14 07:04:00,2025-06-14 09:27:00,maintenance,day,1,1,1,3.4,5.1,132,3,28,0.258,0,0.0,0,131744,95,0.526,0.0285,0,71.1,1,1.0,0,0,55.0,1.02,0,0,none,0
